section_sort_order,item_sort_order,section_ar,section_en,subgroup_ar,subgroup_en,item_ar,item_en,type_ar,type_en,size_ar,size_en,price_jod,order_limit,description_ar,description_en,item_image,size_image,addon_ar,addon_en,addon_price_jod,addon_image,is_active
1,1,سناكات,Snacks,ساندوتشات,Sandwiches,كبدة,Liver Sandwich,تقديم,Serving,عادي,Regular,1.00,,,,liver-sandwich.jpg,,,,,,true
1,2,سناكات,Snacks,ساندوتشات,Sandwiches,نقانق وبيض (فرنسي),Sausage & Eggs Sandwich (French Bread),تقديم,Serving,عادي,Regular,1.00,,,,sausage-eggs-french-bread.jpg,,,,,,true
1,3,سناكات,Snacks,ساندوتشات,Sandwiches,نقانق وبيض (صاج),Sausage & Eggs Saj,تقديم,Serving,عادي,Regular,1.00,,,,sausage-eggs-saj.jpg,,,,,,true
1,4,سناكات,Snacks,ساندوتشات,Sandwiches,زنجر حلو (فرنسي),Sweet Zinger Sandwich (French Bread),تقديم,Serving,عادي,Regular,2.00,,,,sweet-zinger-french-bread.jpg,,,,,,true
1,5,سناكات,Snacks,ساندوتشات,Sandwiches,زنجر حلو (صاج),Sweet Zinger Saj,تقديم,Serving,عادي,Regular,2.00,,,,sweet-zinger-saj.jpg,,,,,,true
1,6,سناكات,Snacks,ساندوتشات,Sandwiches,زنجر حار (فرنسي),Spicy Zinger Sandwich (French Bread),تقديم,Serving,عادي,Regular,2.00,,,,spicy-zinger-french-bread.jpg,,,,,,true
1,7,سناكات,Snacks,ساندوتشات,Sandwiches,زنجر حار (صاج),Spicy Zinger Saj,تقديم,Serving,عادي,Regular,2.00,,,,spicy-zinger-saj.jpg,,,,,,true
1,8,سناكات,Snacks,ساندوتشات,Sandwiches,فاهيتا (فرنسي),Fajita Sandwich (French Bread),تقديم,Serving,عادي,Regular,2.00,,,,fajita-french-bread.jpg,,,,,,true
1,9,سناكات,Snacks,ساندوتشات,Sandwiches,فاهيتا (صاج),Fajita Saj,تقديم,Serving,عادي,Regular,2.00,,,,fajita-saj.jpg,,,,,,true
1,10,سناكات,Snacks,ساندوتشات,Sandwiches,برغر لحمة 100غم,Beef Burger 100g,تقديم,Serving,عادي,Regular,1.75,,,,beef-burger-100g.jpg,,,,,,true
1,11,سناكات,Snacks,ساندوتشات,Sandwiches,برغر لحمة 150غم,Beef Burger 150g,تقديم,Serving,عادي,Regular,2.50,,,,beef-burger-150g.jpg,,,,,,true
1,12,سناكات,Snacks,ساندوتشات,Sandwiches,هوت دوغ,Hot Dog,تقديم,Serving,عادي,Regular,1.00,,,,hot-dog.jpg,,,,,,true
1,13,سناكات,Snacks,ساندوتشات,Sandwiches,كوردن بلو,Cordon Bleu,تقديم,Serving,عادي,Regular,2.00,,,,cordon-bleu.jpg,,,,,,true
